From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
22-10-2021 00:00,23-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-10-2021 00:00,24-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-10-2021 00:00,25-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-10-2021 00:00,26-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-10-2021 00:00,27-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-10-2021 00:00,28-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-10-2021 00:00,29-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
29-10-2021 00:00,30-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
30-10-2021 00:00,31-10-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
31-10-2021 00:00,01-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-11-2021 00:00,02-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-11-2021 00:00,03-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
03-11-2021 00:00,04-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
04-11-2021 00:00,05-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
05-11-2021 00:00,06-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
06-11-2021 00:00,07-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
07-11-2021 00:00,08-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
08-11-2021 00:00,09-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
09-11-2021 00:00,10-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
10-11-2021 00:00,11-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
11-11-2021 00:00,12-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
12-11-2021 00:00,13-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
13-11-2021 00:00,14-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
14-11-2021 00:00,15-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
15-11-2021 00:00,16-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
16-11-2021 00:00,17-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
17-11-2021 00:00,18-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
18-11-2021 00:00,19-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
19-11-2021 00:00,20-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
20-11-2021 00:00,21-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
21-11-2021 00:00,22-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
22-11-2021 00:00,23-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-11-2021 00:00,24-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-11-2021 00:00,25-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-11-2021 00:00,26-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-11-2021 00:00,27-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-11-2021 00:00,28-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-11-2021 00:00,29-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
29-11-2021 00:00,30-11-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
30-11-2021 00:00,01-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-12-2021 00:00,02-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-12-2021 00:00,03-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
03-12-2021 00:00,04-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
04-12-2021 00:00,05-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
05-12-2021 00:00,06-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
06-12-2021 00:00,07-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
07-12-2021 00:00,08-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
08-12-2021 00:00,09-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
09-12-2021 00:00,10-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
10-12-2021 00:00,11-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
11-12-2021 00:00,12-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
12-12-2021 00:00,13-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
13-12-2021 00:00,14-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
14-12-2021 00:00,15-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
15-12-2021 00:00,16-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
16-12-2021 00:00,17-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
17-12-2021 00:00,18-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
18-12-2021 00:00,19-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
19-12-2021 00:00,20-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
20-12-2021 00:00,21-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
21-12-2021 00:00,22-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
22-12-2021 00:00,23-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-12-2021 00:00,24-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-12-2021 00:00,25-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-12-2021 00:00,26-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-12-2021 00:00,27-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-12-2021 00:00,28-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-12-2021 00:00,29-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
29-12-2021 00:00,30-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
30-12-2021 00:00,31-12-2021 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
31-12-2021 00:00,01-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-01-2022 00:00,02-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-01-2022 00:00,03-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
03-01-2022 00:00,04-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
04-01-2022 00:00,05-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
05-01-2022 00:00,06-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
06-01-2022 00:00,07-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
07-01-2022 00:00,08-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
08-01-2022 00:00,09-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
09-01-2022 00:00,10-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
10-01-2022 00:00,11-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
11-01-2022 00:00,12-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
12-01-2022 00:00,13-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
13-01-2022 00:00,14-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
14-01-2022 00:00,15-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
15-01-2022 00:00,16-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
16-01-2022 00:00,17-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
17-01-2022 00:00,18-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
18-01-2022 00:00,19-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
19-01-2022 00:00,20-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
20-01-2022 00:00,21-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
21-01-2022 00:00,22-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
22-01-2022 00:00,23-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-01-2022 00:00,24-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-01-2022 00:00,25-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-01-2022 00:00,26-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-01-2022 00:00,27-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-01-2022 00:00,28-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-01-2022 00:00,29-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
29-01-2022 00:00,30-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
30-01-2022 00:00,31-01-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
31-01-2022 00:00,01-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-02-2022 00:00,02-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-02-2022 00:00,03-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
03-02-2022 00:00,04-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
04-02-2022 00:00,05-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
05-02-2022 00:00,06-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
06-02-2022 00:00,07-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
07-02-2022 00:00,08-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
08-02-2022 00:00,09-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
09-02-2022 00:00,10-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
10-02-2022 00:00,11-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
11-02-2022 00:00,12-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
12-02-2022 00:00,13-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
13-02-2022 00:00,14-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
14-02-2022 00:00,15-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
15-02-2022 00:00,16-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
16-02-2022 00:00,17-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
17-02-2022 00:00,18-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
18-02-2022 00:00,19-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
19-02-2022 00:00,20-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
20-02-2022 00:00,21-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
21-02-2022 00:00,22-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
22-02-2022 00:00,23-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-02-2022 00:00,24-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-02-2022 00:00,25-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-02-2022 00:00,26-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-02-2022 00:00,27-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-02-2022 00:00,28-02-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-02-2022 00:00,01-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-03-2022 00:00,02-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-03-2022 00:00,03-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
03-03-2022 00:00,04-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
04-03-2022 00:00,05-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
05-03-2022 00:00,06-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
06-03-2022 00:00,07-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
07-03-2022 00:00,08-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
08-03-2022 00:00,09-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
09-03-2022 00:00,10-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
10-03-2022 00:00,11-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
11-03-2022 00:00,12-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
12-03-2022 00:00,13-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
13-03-2022 00:00,14-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
14-03-2022 00:00,15-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
15-03-2022 00:00,16-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
16-03-2022 00:00,17-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
17-03-2022 00:00,18-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
18-03-2022 00:00,19-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
19-03-2022 00:00,20-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
20-03-2022 00:00,21-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
21-03-2022 00:00,22-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
22-03-2022 00:00,23-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-03-2022 00:00,24-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-03-2022 00:00,25-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-03-2022 00:00,26-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-03-2022 00:00,27-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-03-2022 00:00,28-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-03-2022 00:00,29-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
29-03-2022 00:00,30-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
30-03-2022 00:00,31-03-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
31-03-2022 00:00,01-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-04-2022 00:00,02-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-04-2022 00:00,03-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
03-04-2022 00:00,04-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
04-04-2022 00:00,05-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
05-04-2022 00:00,06-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
06-04-2022 00:00,07-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
07-04-2022 00:00,08-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
08-04-2022 00:00,09-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
09-04-2022 00:00,10-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
10-04-2022 00:00,11-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
11-04-2022 00:00,12-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
12-04-2022 00:00,13-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
13-04-2022 00:00,14-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
14-04-2022 00:00,15-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
15-04-2022 00:00,16-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
16-04-2022 00:00,17-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
17-04-2022 00:00,18-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
18-04-2022 00:00,19-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
19-04-2022 00:00,20-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
20-04-2022 00:00,21-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
21-04-2022 00:00,22-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
22-04-2022 00:00,23-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
23-04-2022 00:00,24-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
24-04-2022 00:00,25-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
25-04-2022 00:00,26-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
26-04-2022 00:00,27-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
27-04-2022 00:00,28-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
28-04-2022 00:00,29-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
29-04-2022 00:00,30-04-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
30-04-2022 00:00,01-05-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
01-05-2022 00:00,02-05-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
02-05-2022 00:00,03-05-2022 00:00,,,,,,,Tamil Nadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB"
